rank,wcaId,name,single,average,single_score,average_score
47,2015GROH02,Matěj Grohmann,319.65,351.3,90.47,89.95
48,2013SUKA01,Kai Su,320.79,348.18,90.35,90.26
49,2013GERH01,Kevin Gerhardt,321.15,349.18,90.31,90.16
50,2009LIUE01,Evan Liu,321.67,358.46,90.26,89.21
51,2010YINF01,Fung Hoi,322.1,358.74,90.21,89.19
52,2016CHAP04,Stanley Chapel,322.87,360.22,90.13,89.03
53,2014YELI01,Maksym Yeli,323.32,345.49,90.08,90.52
54,2010WHIT05,Zachary White,323.34,341.97,90.08,90.86
55,2015DRIS02,Ryan Driscoll,323.68,355.74,90.04,89.5
56,2013KLEI03,Livia Kleiner,323.9,360.34,90.02,89.02
57,2016GONZ52,Gabriel Santiago,324.13,351.97,89.99,89.88
58,2017PARK05,DongSu Park,324.21,346.19,89.98,90.45
59,2014MEND02,Alexis Rodrigo,324.42,347.61,89.96,90.32
60,2010YIDA01,Dana Yi,324.7,357.71,89.93,89.29
61,2009SIEW03,Manfred Siew,324.76,355.01,89.92,89.57
62,2015MAJE01,Marek Majerik,325.04,348.79,89.89,90.2
63,2017HUAN77,Junliang Huang,325.1,356.13,89.89,89.46
64,2017FENG09,Yu Feng,325.5,347.11,89.84,90.36
65,2015DELA05,Richard Delacoste,326.56,368.41,89.73,88.14
66,2016LOHJ01,Janelle Loh,328.18,360.89,89.54,88.96
67,2014BONA02,Bautista Bonazzola,328.23,359.46,89.54,89.11
68,2017SZUL01,Mateusz Szulik,328.29,357.76,89.53,89.29
69,2014RAJE03,Anish Rajesh,328.82,365.86,89.47,88.42
70,2013MALI03,Szymon Malinowski,329.29,360.64,89.42,88.98
71,2015DORN02,Paris Dorn,330.83,359.09,89.25,89.15
72,2010UTOM01,Vincent Hartanto,331.66,361.09,89.15,88.94
73,2016SING33,Pahul Singh,331.92,371.01,89.12,87.85
74,2013LUOX01,Xin Luo,333.51,359.79,88.94,89.07
75,2010CHEN20,Lin Chen,334.25,365.3,88.85,88.48
76,2014LOPE04,Antonio López,334.4,355.91,88.83,89.48
77,2016HOWE03,Lee Hoween,334.41,362.94,88.83,88.74
78,2014STIN01,Jared Stinson,335.06,372.72,88.76,87.66
79,2014GERB01,Henri Gerber,335.74,362.74,88.68,88.76
80,2014WENW01,Wong Chong,335.98,369.36,88.65,88.04
81,2012PATE01, Antonie,336.28,374.96,88.61,87.4
82,2008BARA01,Bence Barát,337.28,366.8,88.5,88.32
83,2015DUYU01,Yusheng Du,337.3,372.51,88.49,87.68
84,2016REGO01,Sheldon Rego,337.41,368.06,88.48,88.18
85,2017SOUL02,Cameron Soulagnet,337.57,380.89,88.46,86.72
86,2013TAPP01,Carlos Tapp,337.95,375.43,88.42,87.35
87,2011TORG01, Ivan,338.46,370.31,88.35,87.93
88,2008SAJI01,Yu Sajima,338.81,368.54,88.31,88.13
89,2009YAUR01,Robert Yau,338.84,368.89,88.31,88.09
90,2014ZAKR01,Karol Zakrzewski,339.65,369.21,88.21,88.05
91,2015WANG46,Shih-Hao Wang,339.9,365.1,88.18,88.51
92,2015OAKK01,Kunal Oak,340.17,366.58,88.15,88.34
