Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Marcell Endrey,Hungary,WC2011,4.57,33.02,45.71,48.78
Zane Carney,Australia,WC2011,18.99,33.02,41.55,38.52
Marcell Endrey,Hungary,ZonhovenOpen2012,39.55,33.02,28.8,30.71
Marcell Endrey,Hungary,Euro2012,19.63,29.63,42.9,26.36
Francisco Javier Lemes Sáez,Chile,EindhovenSpring2013,14.4,29.61,39.0,35.43
Marcin Kowalczyk,Poland,ManufakturaOpen2013,16.23,29.61,35.3,37.3
Marcell Endrey,Hungary,WC2013,25.6,29.61,32.2,31.03
Marcin Kowalczyk,Poland,GLSSummer2013,31.41,29.61,31.41,26.01
Marcin Kowalczyk,Poland,GrudziadzOpen2013,22.32,29.61,37.61,28.9
Grzegorz Jałocha,Poland,GrudziadzOpen2013,27.12,29.61,32.16,29.55
Marcin Zalewski,Poland,CubeFactory2013,29.55,29.61,31.13,28.15
Marcin Zalewski,Poland,SLSZaglebie2013,11.4,29.61,48.99,28.44
Grzegorz Jałocha,Poland,GLSAutumnReda2013,19.17,28.87,37.88,29.56
Marcin Zalewski,Poland,SLSCzestochowa2013,13.31,28.87,33.39,39.91
Noah Arthurs,USA,LibertyScience2013,27.22,28.87,32.03,27.36
Marcin Kowalczyk,Poland,WarsawOpen2014,23.0,28.87,32.09,31.52
Marcin Kowalczyk,Poland,PolishOpen2014,16.49,28.87,34.28,35.84
Grzegorz Jałocha,Poland,RumiaOpen2014,7.81,28.87,28.21,50.59
Marcin Kowalczyk,Poland,SLSChorzow2014,21.27,28.87,23.97,41.37
Sebastiano Tronto,Italy,ItalianChampionship2014,22.02,28.87,28.41,36.18
Grzegorz Jałocha,Poland,PLSSopot2014,20.55,28.43,39.38,25.36
Marcin Kowalczyk,Poland,PLSSopot2014,29.92,28.43,30.51,24.86
Noah Arthurs,USA,USNationals2014,18.57,28.43,38.97,27.75
Grzegorz Jałocha,Poland,Euro2014,24.62,28.43,27.93,32.74
Noah Arthurs,USA,Indiana2014,27.48,28.43,30.18,27.63
Grzegorz Jałocha,Poland,BydgoszczSummer2014,19.86,28.43,37.92,27.51
Marcin Kowalczyk,Poland,BydgoszczSummer2014,33.33,28.43,28.77,23.19
Marcin Zalewski,Poland,BigCubeKrasnik2014,19.99,28.43,27.26,38.04
Marcin Zalewski,Poland,KrakowCubingSpree2014,27.57,28.43,30.31,27.41
Kaijun Lin (林恺俊),China,GuangdongOpen2014,23.46,27.74,28.01,31.75
Marcin Kowalczyk,Poland,CubersEve2014,14.55,27.51,25.59,42.39
Marcin Kowalczyk,Poland,RivieraCubeWeek2015,28.76,27.51,30.15,23.62
Marcin Kowalczyk,Poland,RivieraCubeWeek2015,25.53,27.51,33.61,23.39
Marcin Kowalczyk,Poland,PolishOpen2015,25.21,26.41,27.83,26.19
Marcin Kowalczyk,Poland,SpeedDaysKrasnik2015,14.4,26.41,39.62,25.21
Marcin Kowalczyk,Poland,SpeedDaysKrasnik2015,12.45,26.41,30.4,36.38
Gianfranco Huanqui,Peru,TCGAndFriends2015,26.42,25.45,25.03,24.9
Gianfranco Huanqui,Peru,WC2015,24.09,25.45,21.83,30.43
Kaijun Lin (林恺俊),China,HefeiOpen2015,27.94,25.45,25.31,23.1
Marcin Kowalczyk,Poland,KaliskaOpen2015,23.29,25.45,29.7,23.36
Gianfranco Huanqui,Peru,INABIFOpen2015,20.46,25.45,31.97,23.92
Gianfranco Huanqui,Peru,INABIFOpen2015,11.29,25.45,24.95,40.11
Roberto Antonio Ocmin Baráybar,Peru,TorneoAventuraCubica2016,20.83,25.45,24.84,30.68
