Name,Best WR,Event
Emanuele Bianchetti,33182,333
Gabriele De Pascalis,33265,skewb
Fabio Roscigno,33461,333
Nicolò Dilettuso,33471,pyram
Tiziano Bernardi,33565,pyram
Roberto Fantini Perullo,33588,skewb
Pietro Michelangeli,33704,pyram
Limin Hu,33811,333
Filip Zashev,33846,333oh
Daniele Coluccini,34010,333oh
Matteo Conti,34100,444
Francesco Malaguti,34129,222
Manuel Patriarca,34220,222
Alessio Nannucci,34262,333oh
Marco Lama,34313,222
Hashmi Antonio Di Giacomo,34370,333
Paolo Sculli,34409,333
Alessia Mercuri,34459,333
Francesco Naccarato,34553,444
Antonio Mari,34588,333oh
Angelo Zuppa,34615,333
Flavia Fangano,34878,pyram
Riccardo Borsani,35003,222
Emanuele Cuzzocrea,35011,333
Federico Papa,35285,pyram
Daniel Theurillat,35439,333
Gianpaolo Miranda,35587,333oh
Matteo Lupoi,35683,pyram
Angelo Landi,35762,444
Edoardo Porena,35766,333oh
Marco Guidi,35805,444
Mauro Matranga,35834,222
Pietro Zagagnoni,36066,pyram
Francesco Moreschi,36160,444
Flavio Di Giorgio,36197,333oh
Mattia Campione,36282,pyram
Giacomo Scortecci,36386,222
Francesco Sportelli Erik,36424,444
Elvis Ede,36684,333oh
Vico De Nadai,36731,pyram
Jonathan Bergamelli,36753,444
Johnny Salaroli,36864,444
Eugenio Tricomi,36879,444
Riccardo Scrinzi,36952,333oh
Noam Lenarduzzi,37063,pyram
Chiara Spagnoli,37159,333oh
Davide Iannuzzo,37294,444
Loris Topa,37387,333oh
Simone Angelotti,37590,pyram
Carmine Panna,37830,333oh
Manuel Sordi,38008,444
Giorgio Vinetti,38119,333
Samuele Baldi,38173,444
Matteo Dal Grande,38176,333oh
Andrea Arnau,38302,444
Andrea Campisi,38332,444
Tiziano Pavone,38418,444
Lorenzo Venturi,38489,333
Davide Ferrara,38494,333oh
Christian Marini,38512,pyram
Valerio Damiano,38533,222
Nicolò Cretti,38807,222
Fabio Chiarini,38879,333
Lorenzo Tendola,38894,222
Denis Malvezzi,39180,222
Alexander Stürz,39243,444
Francesco Forte,39403,333
Vanessa Chimienti,39636,444
Andrea Clementi,39955,333
Pierfrancesco Cafaro,40132,444
Matteo Barone,40164,444
Andrea Smaniotto,40237,333
Rocco Stabile,40666,444
Luca Simone,40786,444
Antonio Marchizza,40834,pyram
Pietro Rinaldi,40834,444
Grace Tofone,40848,444
Mattia Montigiani,40877,pyram
Alessandro Buono,40928,444
Nicola Francesco Polino,40983,222
Pietro Domenico Trevisan,41229,444
Giovanni Angarola,41272,444
Maria Giovanna Martello,41307,444
Andrea De Paolis,41442,444
Dario Tona,41608,444
Pietro Brunengo,41715,333
Nicolas Gagliardi,41943,222
Matteo Fantasia,42057,444
Niccolò Lo Presti,42103,pyram
Valerio Facchini,42108,444
Corrado Verdino,42200,222
Matteo Damiano,42527,222
Christian Bonerba,42656,pyram
Laura Sala,42682,444
Ilaria Sabeni,42713,pyram
Matteo Bonotto,42727,222
Franco Alessandro Briccoli,42752,444
Carlotta Russo,42786,444
Lorenzo Ricci,42847,444
Dario Santucci,43235,pyram
Siro Saronni,43309,pyram
Luca Rastelli,43315,333
Flavio Conti,43708,333
Arianna Forte,43959,pyram
Johannes Innerhofer,44013,222
Simone Yuji Gubbini,44087,333
Leonardo Peroni,44493,222
Nicola Romano,44493,222
Gianluca Leo,44755,pyram
Daniele Amoroso,44791,222
Valentina Ladurini,45083,pyram
Giuseppe Marcellino,45102,pyram
Marco Gianni Levati,45264,333
Lio Tarquino,45296,222
Aurelio Liotta,45296,222
Andrea Rubino,45386,222
Cristian Bettosti,45595,333
Simone Belladelli,45826,222
Marco Ponzio,45843,333
Francesco Nasce',45928,pyram
Giovanni Valdes,46431,pyram
Francesco Perinti,46802,333
Enea Nika,47128,222
Christian Nunzio Pecorai,47136,333
Nicola Placuzzi,47247,pyram
Federico Rossa,47267,222
Ulisse Palmiero,47489,pyram
Daniele Mulliri,47567,333
Federico Alessandro Ionita,47837,pyram
Tommaso Salvitti,47844,pyram
Lorenzo Nigro,48035,pyram
Emanuele Tempra,48151,333
Rita Simone,48352,pyram
Lucrezia Aiello,48378,333
Simone Ballerini,48438,333
