Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Antonie Paterakis,Greece,WC2017,1.5,1.51,1.28,1.26,1.75,1.5,2.22
Kevin Gerhardt,Germany,WC2017,1.27,1.51,1.88,1.34,1.31,1.17,4.03
Maciej Czapiewski,Poland,WC2017,1.36,1.51,1.6,1.52,1.14,1.41,4.49
Christopher Chi,USA,SwissOpen2017,1.41,1.51,1.64,1.55,1.34,2.19,1.34
Maciej Czapiewski,Poland,GLSCupIV2017,1.4,1.51,1.65,2.17,1.55,1.31,1.33
Maciej Czapiewski,Poland,GLSCupIV2017,1.46,1.51,1.36,1.59,1.58,1.74,1.22
Maciej Czapiewski,Poland,DLSWrzesien2017,1.33,1.45,1.5,1.74,1.14,1.7,1.15
Will Callan,USA,Maryland2017,1.36,1.45,1.01,2.26,2.0,1.34,0.74
Maciej Czapiewski,Poland,PolishNationals2017,1.39,1.42,1.12,1.57,1.03,1.63,1.57
Luke Van Laningham,USA,WildcatHoliday2017,1.32,1.42,1.33,1.03,1.32,1.61,1.69
Brian Johnson,USA,ElkCubing2018,1.27,1.35,1.3,2.07,1.56,1.07,1.19
Antonie Paterakis,Greece,ElsassOpen2018,1.31,1.35,1.04,1.63,1.44,0.93,1.57
Mattias Uvesten,Sweden,SwedishChampionship2018,1.33,1.35,0.77,1.81,0.7,1.96,1.47
Rasmus Stub Detlefsen,Denmark,SwedishChampionship2018,1.27,1.35,0.95,1.58,0.72,1.52,2.02
Kevin Gerhardt,Germany,HessenOpen2018,1.29,1.35,1.36,1.18,2.08,1.33,1.36
Brian Johnson,USA,GreatLakesChampionship2018,1.27,1.35,0.98,1.79,0.75,2.45,1.28
Will Callan,USA,TeaTimeSpring2018,1.29,1.35,0.8,1.54,1.71,2.11,0.62
Andy Denney,USA,CoachPigeon2018,1.31,1.35,1.33,1.73,1.5,1.22,1.2
Maciej Czapiewski,Poland,CubeFactoryCzestochowa2018,1.24,1.35,1.15,1.26,1.64,0.83,1.81
Maciej Czapiewski,Poland,GLSCupV2018,1.32,1.35,1.33,1.48,4.8,1.23,1.24
Antonie Paterakis,Greece,HaarlemCubing2019,1.16,1.21,1.21,1.07,2.42,1.2,1.22
Antonie Paterakis,Greece,CubeWeekendStMichielsgestel2019,1.15,1.21,0.95,1.74,1.36,1.32,0.76
Jiazhou Li (李佳洲),China,XianCherryBlossom2019,1.2,1.21,1.22,1.33,1.2,1.2,1.21
Will Callan,USA,CubingUSANationals2019,0.99,1.21,1.46,0.79,1.78,1.17,1.0
Luke Van Laningham,USA,CubingUSANationals2019,1.06,1.21,1.27,0.81,4.23,1.27,1.09
Martin Vædele Egdal,Denmark,SSL3Varberg2019,1.2,1.21,1.1,1.07,1.27,1.26,3.35
Martin Vædele Egdal,Denmark,DanishOpen2019,1.2,1.21,0.81,1.48,1.34,2.21,0.79
Will Callan,USA,ClashatCarlisleFall2019,1.19,1.21,0.98,0.93,1.59,1.48,1.17
Zayn Khanani,USA,ClashatCarlisleFall2019,1.13,1.21,1.05,0.81,1.67,0.91,1.89
Martin Vædele Egdal,Denmark,NordicChampionship2019,1.18,1.21,1.23,1.2,2.22,1.2,1.15
Zayn Khanani,USA,IdahoSummerB2021,0.93,1.21,1.73,0.98,2.47,0.9,0.92
Zayn Khanani,USA,StowhioOpen2021,1.2,1.21,1.15,1.23,1.25,1.13,1.28
Zayn Khanani,USA,FloridaReturns2021,1.19,1.21,1.11,1.21,2.91,1.05,1.31
