Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
IrunaOpen2020,9,RF2U'FUF'UR'F,R' U' F U2 R2 F R2 U' R2 U' F2,1,C,2
HvidovreSommerhygge2020,9,U'R'F2UFRUR'U2,R' F' U2 F U2 R2 U' R2 U' F U,2,B,4
HeartlandChampionships2018,9,FU'FU'F2U'F'UF',U R F R2 U2 R' U' R F' U2 R',1,A,4
EstonianOpen2020,9,F2R2F'R'U'R2FR'F,U R F' R2 F2 U2 R U' R U' R',1,B,2
EstonianOpen2020,9,U'FU'FRFU2R2F2,F2 U2 F R U R' F U' R U2 R,1,C,2
CliftonWinter2017,9,UF'UFU'R2UR2U',U R2 U R2 U2 R2 U' F' U' F U',d,B,2
EstonianOpen2020,9,U'F'U2RU'R'F2R2U',U' R' U2 R2 F' U2 F U' R U' R',1,D,2
SydneyChampionship2016,9,F'U2FU2R2F'RU'R',R U R' F U2 F R2 U2 R2 U2 F,2,A,5
ChengduNewYearAfternoon2021,9,U'F2UF'RU2R2FU',U2 R U' R2 U F U2 F R2 U2 F',d,C,4
BarwonCubefortheKids2021,9,FR'F'RFR2F'RU,U R F' R2 U' F' R U' R' F' R,1,A,1
BarwonCubefortheKids2021,9,UF2RFR2U2RF'U2,U R' F' U2 F2 U' R U' R' U' F,1,A,1
MelbourneCubeDays2016,9,U2RU'F'U2F'RUF',U R' F R U' R F R' F U' R,2,B,3
HaywardRubiksRumble2016,9,U'R2FRU'R2F'RU,U' R' F R2 U R U2 R2 F R2 U',1,N,1
NationalCubingRegionOpen2016,9,U'RU'FURU'R2F2,U R' F U R U' R2 U2 R' F' R,d,L,2
NationalCubingRegionOpen2016,9,URU2RU2FR'F2R',R F' U' R2 U' R U R' F' R2 U2,d,K,2
EgerOpen2017,9,F'RUR'FU2F'U'F2,U R' U' F U2 F U' R F R' U2,2,A,2
FrankfurtCubeDays2016,9,F2U'F'R'F2R2F'R'U,U' R F' U2 R2 F R2 U' R F' R',1,A,2
LexingtonFall2015,9,URU2RU2F'URF',U' R U' F R U2 R' U' F U' R2,1,D,1
LexingtonFall2015,9,FU'R'U2F'U'R2U2F,R' F2 R' U' F U' F U' F U' F,1,D,1
EmpireStateSummerB2021,9,UF'UF'UR2F2U'F,R F U' F U' F R2 U' R' U' R2,1,C,3
LexingtonFall2015,9,UF2R2FUF2R'FU,R' U' F' R U2 F U2 F R2 U' F',1,B,1
LexingtonFall2015,9,F'RF'R2F'U2FR'F',U R2 F' R U R' U2 F U2 F' U2,1,A,1
