Competition,Event,Round,Group,Scramble Num,Scramble
KaspiyOpen2018,333,1,A,3,D B2 D L2 D2 U' R2 U' L D F L' U B' F2 U2 R' B
SchoolmarkOpen2018,333,f,A,2,R2 F' B U R2 U2 B R L2 D2 R2 B2 D2 B2 U L2 U' F2 L2
ShriRamCubingChallenge2018,333,1,E,2,B2 L' B2 L2 U2 F2 L' U2 F2 L' B L2 D F' L' R' U' L D' U2
Saitama2018,333,d,A,3,U2 R' D' F2 L' U B D' F2 D' R' F2 R' B2 R B2 L B2 L'
ProjectJastrzebieZdroj2018,333,2,A,2,B' D2 F' L' D' B2 D F2 R2 L F' U2 L2 D2 F2 D2 F2 L2 F2
WenzhouOpen2018,333,1,E,1,L' B D2 F U2 B2 U2 D' L' F2 L2 U2 D2 F' D2 F' B' U2 L2
BigCubingItaly2018,333,1,C,2,B L2 D2 U2 F2 D2 B' L2 R2 F R' D L2 U B' U2 B' L' R'
MongoliaChampionship2019,333,1,G,1,R2 U R2 L' F2 U' B L2 B' L' F2 R2 U2 F2 U' F2 U2 R2 F2
FontwellOpen2019,333,2,C,4,F2 R B2 U2 R D2 U2 B2 U2 B R2 B2 U' B2 L U F D2 F
BinghamtonWinter2019,333,2,B,1,L2 D2 F D2 F2 R2 F L2 D B' F R D F' R' B R2 D2 R
HuehueOpen2019,333,d,C,2,B2 R F2 L2 U' L2 B R B R' U2 L' F2 R' B2 R U2 R
WuhanChuyunSpring2019,333,2,C,2,R' D F2 U2 B D F2 U R' B D' B2 R2 B2 D2 R2 D2 R2 U
KoalaficationBrisbane2019,333,2,A,2,F2 B' U L D' R2 F2 U' B' D' B L2 B' L2 F2 D2 F R2 D2
SanJoseDelMonte2019,333,f,A,4,L' D2 L' U2 R2 D2 R B2 F' R U L' U2 F L F U F2 U'
GuiyangOpen2019,333,1,A,4,D F D L' D F B2 R B' U B' U2 L U2 R D2 R' D2 F2
CasalCatalunyaBairesOpen2019,333,1,D,1,U2 R2 U2 B' R2 U2 F2 L2 D2 R2 F' L' F L' R U' B' L D2 F
PlayCubeX42019,333,1,H,2,B2 U' R2 D' F2 L2 U R2 U B' R B2 U2 L B' F' L F' L' U
