name,country,minx
James Quinn,USA,906
Magnus Patrick Kanstrup,Denmark,906
Nikita Starodubov,Belarus,906
Kirby Jay Caragan,Philippines,905
Rūdolfs Vīnkalns,Latvia,905
Adam Chodyniecki,Poland,905
Aneurin Hunt,New Zealand,904
Travis Burkett,USA,903
Maxim Onushkin,Russia,903
Mohamed Mostafa,Egypt,903
Ilia Murmulyak,Russia,902
Cheng-Ru Yang,New Zealand,902
Diego Trujeque,Mexico,902
Govend Avgerinos Djangoi,Sweden,902
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,901
Jhon Edinson Arias Parra,Colombia,901
Jimmy Tran,USA,901
Linus Laurén,Finland,901
Krishang Agarwal,India,900
Noah Swor,USA,900
Angeline Wijaya (黃千儀),Indonesia,900
Seung Hyuk Nahm (남승혁),Korea,900
Masayuki Hirai (平井雅之),Japan,900
Carol Chai,New Zealand,899
Beau Ramsey,USA,899
Joe Davis,Australia,899
Elijah Brown,USA,899
Kajetan Opach,Poland,898
Tom Noble,Australia,898
Owen Widdis,USA,898
Muhammed Pusat Özçelik,Turkey,898
Mia Sponseller,USA,898
Dallas McNeil,Australia,898
Ivan Polkanov (Иван Полканов),Russia,898
Alikhan Umarov (Алихан Умаров),Kazakhstan,897
Li Chak Kwan (李澤堃),Hong Kong,897
Marc Tol,Netherlands,897
Marie Vincent,France,897
Georgiy Titov (Георгій Тітов),Ukraine,896
Malek Hamoui,Ghana,896
Elizaveta Rymshina (Елизавета Ры́мшина),Russia,896
Aiden Dajun Kim,Canada,896
Nicholas Paul,Australia,895
Sean Weatherley,Australia,895
Timothy Castle,USA,895
Milhouse Gibbons-Paul,United Kingdom,895
Kirill Netesov,Russia,895
Daniel Tidsey,United Kingdom,895
Ciarán Beahan,Ireland,894
Can Gücüyener,Turkey,894
Taosif Amin Sahil,Bangladesh,894
Adriel Wiebe,USA,893
Mohannad Mahmoud Fathy,Egypt,892
Steve Greer,USA,892
Alevio Hamizan Ersha,Indonesia,892
Robert Alden,United Kingdom,891
Ryan Driscoll,Australia,891
Brian Johnson,USA,890
