name,country,clock
Zhao-Zhe Zhong (鍾肇哲),Taiwan,837
Hansi Wang (王翰思),China,837
Henry Sun,Australia,837
Lev Bruskov (Лев Брусков),Russia,836
Junxi Jian (简隽希),China,835
David Arzamastsev,Russia,835
Tair Zhansultanov,Kazakhstan,835
Nicolas Gertner,France,835
Choi Hyo-jin (최효진),Korea,835
Đào Bách Nguyên,Vietnam,834
Jiaxiang Wang (王家祥),China,834
Dawid Mazurek,Poland,834
Adrian Radziewicz,Poland,833
Karina Ermakova (Карина Ермакова),Russia,832
Nayan Jyoti Das,India,831
Mahathir Muhammad Athoy,Bangladesh,831
Aleksander Arefiew,Poland,831
Daniel Tidsey,United Kingdom,831
Renan da Cunha Santos,Brazil,831
Aiden Chan,Canada,831
Vishal Mohanraju,India,830
Nicolas Køster Christensen,Denmark,830
Sean Hartman,USA,830
Ekaterina Kaneva,Russia,829
Wong Chong Wen (黄崇文),Singapore,829
Charlie van Ooran,Australia,829
Nikolai Gomelchuk,Russia,828
Johannes Knudsen,Sweden,828
Taiyu Wan (万泰宇),China,828
Amy Eguchi-Fergusson,Australia,828
Jacob Sasine,USA,827
Lucas Belcher,New Zealand,827
Oleksii Lasiichuk (Олексій Ласійчук),Ukraine,827
Jacob Chambers,United Kingdom,826
Ivan Bashun (Иван Башун),Russia,825
Yiding Zhao (赵一丁),China,825
Louis Cormier,Canada,825
Dmitry Kryuzban,Russia,825
Tantian Shen (沈谈天),China,825
Esneider Giraldo Restrepo,Colombia,824
Livia Kleiner,USA,824
Misael Gómez Soria,Mexico,824
Milan van Wanrooij,Netherlands,824
Mark Spirin,Russia,824
Andrey Mishin (Андрей Мишин),Russia,823
An-Yuan Jhan (詹安元),Taiwan,823
Angeline Wijaya (黃千儀),Indonesia,823
Ben Teh,Australia,823
Nestor Sokhan,USA,822
Zhengli Ning (宁郑立),China,821
Ainesh Sevellaraja,Malaysia,821
Zack Hall,Australia,821
Aleksandra Lukianova (Александра Лукьянова),Russia,821
Szymon Brzana,Poland,821
Andrey Seleznev,Russia,820
Yunhui Zhao (赵云晖),China,820
Joel Cetra,Germany,820
Ilya Parchuck,Russia,818
Zachary Ochs,USA,818
Martin Zhang,China,818
Tommy Kiprillis,Australia,818
Haohan Zheng (郑皓涵),China,817
Destin Shulfer,USA,817
Justin Erkkila,USA,816
Charlie Bauchop,New Zealand,816
Samuel Weber,USA,815
Aaikham Borgohain,India,815
Elham Mubasshir Fahim,Bangladesh,815
Richert Jay Pinca,Philippines,814
Luis Angel Huerta Barrales,Mexico,814
Kiyomi Eguchi,Japan,814
Leon Marcell Alamanda,Indonesia,814
Habin Kim (김하빈),Korea,814
Jacob Oliver Bruun,Norway,813
Andrey Radaev (Андрей Радаев),Russia,813
Cameron Miller,USA,813
Azizah Nur Hayati,Indonesia,813
Nathaniel Berg,Sweden,813
Sukant Koul,India,813
Miklós Mohos,Hungary,812
Daniel Eric Ryan,Australia,812
Yifan Sun (孙逸凡),China,812
Carter Kucala,USA,811
Ksenia Esipova (Ксения Есипова),Russia,810
Gabriel Alejandro Orozco Casillas,Mexico,810
Xinhe Liu (刘心赫),China,810
Adrien Auvray Matyn,New Zealand,809
Wojciech Barciaga,Poland,809
Bradley Sampson,USA,809
Paul Mahvi,USA,809
Zejun Chen (陈泽鋆),China,808
David Vujasić,Croatia,808
Fabio Schwandt,United Kingdom,808
Oscar Childs,New Zealand,808
Linus Kunath,Germany,808
Huijun Gao (高慧军),China,807
Yuxuan Zheng (郑誉轩),China,807
Yujia Wu (吴语嘉),China,807
Nathan Popov,USA,807
Zheming Li (李哲铭),China,807
Dmitry Melnikov (Дмитрий Мельников),Russia,806
Kamil Łukaszewski,Poland,806
Ryuji Hamano (浜野竜二),Japan,805
Timothy Castle,USA,805
Suen Ming Chi (孫銘志),Hong Kong,804
Nikita Pak,Russia,804
Håvard Færden,Norway,804
Artem Vanyan,Russia,804
Javier Siquité,Guatemala,803
Dylan Hua,Australia,803
Mattheo de Wit,Netherlands,803
Jack Maddigan,New Zealand,802
Ng Jia Quan (黄佳铨),Malaysia,802
Szymon Grodzki,Poland,801
Jun Wang (王珺),China,801
Zongqi Liu (刘宗奇),China,799
Arsenii Chaplinskii,Russia,799
Hao Wang (王浩),China,799
Sergey Nepushkin (Сергей Непушкин),Russia,798
