name,country,sq1
Wong Chong Wen (黄崇文),Singapore,766
Andrew McCormick,USA,766
Lawson Burrows,Australia,765
Milhouse Gibbons-Paul,United Kingdom,765
Maxim Bochkarev (Максим Бочкарёв),Russia,765
Marco Giordano,Italy,765
Yannic Waser,Switzerland,764
Gil Kochbeck,Germany,764
Nicholas Kang,Canada,764
Aidan McKenzie,USA,764
Nicolas Gertner,France,764
Yasa Zaheen,Bangladesh,763
Timo Regoor,Netherlands,763
Filip Boberski,Poland,763
Santeri Laine,Finland,763
Adam Moughnie,Canada,763
Farrah Abdallah,Bangladesh,763
Alaik Bhatia,India,763
Eric Waldbillig,USA,762
Darya Belonogova,Russia,762
Artur Miralles Hernàndez,Spain,762
Nikita Kim (Никита Ким),Kazakhstan,762
Vishwa Sankar,USA,762
Zhao-Zhe Zhong (鍾肇哲),Taiwan,762
Mikhail Malamant (Михаил Маламант),Russia,762
James Holdsworth,Australia,762
João Marcos Rocha Souza,Brazil,761
Miguel Solis,Panama,761
Jan Golec,Poland,761
Benjamin Walker,Australia,760
