name,country,pyram
Richard Madden,Ireland,1028
Héctor Haro Guerrero,Spain,1028
Alessandro Nicolì,Italy,1028
Ziyue Wu (吴子玥),China,1028
Zack Hall,Australia,1028
Anton Uskov (Антон Усков),Russia,1027
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,1027
Jami Viljanen,Finland,1027
Mattias Uvesten,Sweden,1027
Cedric Meysing,Germany,1027
Angus Henkel,Australia,1027
Zhaohong Huang (黄兆鸿),China,1026
Evgeniy Mazhara,Russia,1026
Mikołaj Zubowicz,Poland,1026
Yinhao Ding,Australia,1026
Kai Ma (马开),China,1026
Olivera Radovanović,Serbia,1026
James MacDonald,Australia,1026
Hao Do,Australia,1026
Wanling He (何婉灵),China,1026
Manuel Prieto de Antón,Spain,1026
Sam Ellis,Australia,1026
Alex Van Vugt,Australia,1026
Renchinnorov Burenzevseg (Бүрэнзэвсэг Ренчинноров),Mongolia,1025
Paul Mahvi,USA,1025
Ethan Basanov,Canada,1025
Yihui Han (韩译慧),China,1024
Tomáš Nguyen,Vietnam,1024
Dmitry Kryuzban,Russia,1024
Matthew Sieredzinski,Australia,1024
Joey Cavanagh,Australia,1024
Freddy Brighton,New Zealand,1024
Daniel Porter,USA,1024
Yunke Zhang (张云柯),China,1023
Kyle Meade,USA,1023
Marco Manno,Italy,1023
Semen Artyukhov,Russia,1023
Aaryn Chieng,Australia,1023
Hudson Moore,USA,1023
Xujia Lei (雷旭嘉),China,1022
Tianle Cai (蔡天乐),China,1022
Justin Barker,USA,1022
Vitor Jose Shen (沈偉棟),Macau,1022
Charlie Eggins,Australia,1021
Cheng-Ru Yang,New Zealand,1021
Cormac Farrell,United Kingdom,1021
Noah Aaron Pearson,Australia,1021
Đào Bách Nguyên,Vietnam,1021
Mateusz Kotwica,Poland,1021
Flynn Otto,Australia,1021
Fedor Tarasov,Russia,1020
Leonard Wetzel,Germany,1020
Noah Paredes,USA,1020
Arnau Tous Mateu,Spain,1019
Aadarsh Madhavan,India,1018
Nikita Malykhin (Никита Малыхин),Russia,1018
Jack Amarbat,New Zealand,1018
Bartłomiej Owczarek,Poland,1018
Mannessah Kani,Australia,1018
Zee Capangpangan,Philippines,1018
Varun Mohanraj,USA,1017
Łukasz Dubicki,Poland,1017
Artyom Shevchenko (Артём Шевченко),Russia,1017
Isaac Dalton,Australia,1017
Dominic Amrhein,Germany,1017
Maksim Demchenko (Максим Демченко),Russia,1017
Andrey Mozgovoy (Андрей Мозговой),Russia,1017
Boris Monakhov,Russia,1017
Liam Uno Timour-Silveira,Norway,1017
Serdar Özdemir,Turkey,1017
Jack Bellomy,USA,1016
Scott Weston,USA,1016
Thomas Curnow,Australia,1016
Mihnea Andrei Panţu,Romania,1016
Cheng-Han Chu (朱政翰),Taiwan,1016
Samuel Simko,Slovakia,1016
Astrid Lacotte,France,1016
Aquila Janoschka,Australia,1016
Levi Benjamin Matara-Ng,Australia,1016
Lam Yu Ching (林雨晴),Hong Kong,1016
Kymberlyn Calderon,USA,1016
Rick Hamburger,Netherlands,1016
Ziming Guo (郭子鸣),China,1016
Louis Cormier,Canada,1015
Akhil Kota,India,1015
Witold Sołtysik,Poland,1015
Rory Bailey,New Zealand,1015
Angela Braganza,New Zealand,1015
Vishal Mohanraju,India,1015
Hsiu-Lin Chuang (莊修霖),Taiwan,1015
Krystian Załuski,Poland,1014
Sophia Mykhaylyk,Australia,1014
Arseniy Dyachenko,Russia,1014
Guangtao Zhang (张广韬),China,1014
Harry Loiterton,Australia,1014
Jonas Fong,Australia,1014
Ezra Kiripatea,New Zealand,1013
Joshua Feran,USA,1013
Marcus Moberg,Sweden,1013
Luke Burong,Australia,1013
Zhenrun Song (宋贞润),China,1013
Mikhail Kalashnikov (Михаил Калашников),Russia,1013
Aleksey Zuev,Russia,1012
Frederik Løchte,Denmark,1012
Tyler Dipper,New Zealand,1012
Sarah Fluck,United Kingdom,1012
Zach Amiridis,Australia,1012
Amelia Krieg,USA,1012
