name,country,overall
Raúl Cuevas Castillo,Spain,590
Krzysztof Bober,Poland,590
Joseph Tudor,United Kingdom,589
Joel Ulin,Sweden,589
Jonathan Tilahun,USA,589
Aidan McKenzie,USA,589
Jonas Rongé,Belgium,589
Jack Bellomy,USA,589
Axel Brisse,France,588
Cendy Cahyo Rahmat,Indonesia,588
Mikhail Sartakov,Russia,588
Maxime Madrzyk,France,588
Pessi Ansaranta,Finland,588
Alex Davani,USA,587
Adrian Oon,Australia,587
Jonathan Esparaz,Canada,587
Xinyang Li (李昕洋),China,587
Aryan Kejriwal,USA,587
Ilya Epifanov,Russia,586
Lalith Sashank,India,586
Yongtao Sun (孙永涛),China,586
Joey Cavanagh,Australia,586
Shenghai Fang (方胜海),China,586
Feilong Tang (唐飞龙),China,586
Lachlan Malcolm,Australia,585
Viktor Kalmar,Austria,585
Elliott Kobelansky,Canada,585
Carlo Glod,Luxembourg,585
Justin Gou,USA,585
Cheung-Hao Tu,United Kingdom,585
Pacifico Rodriguez,Switzerland,585
Jolina Chen,Australia,584
Yi-Fan Wu (吳亦凡),Taiwan,584
Max Hahnbück,Germany,584
Nikita Razzamazov (Никита Раззама́зов),Russia,584
Ilya Tsiareshka,Belarus,584
Mark Ostrom,United Kingdom,584
Sergio Bulux,Guatemala,584
Elmer Alexander Johnsen,Norway,584
Rowe Hessler,USA,583
Fabian Settelen,Switzerland,583
Vladislav Shurshilin,Russia,583
Zixuan Liu (刘子瑄),China,583
Weijie Fang (方伟杰),China,583
Rafał Waryszak,Poland,582
Jan Riedl,Czech Republic,582
Mateusz Szwugier,Poland,582
Liam Uno Timour-Silveira,Norway,582
Angel Jesus Panebra Rodriguez,Peru,582
Angel Armando Jaime Sánchez,Mexico,581
Xinyu Li (李欣宇),China,581
Mauro Moises López,Spain,581
Jacob Eoin Gipp,Canada,581
Conan Mo,Australia,581
Egdar Castillo,Panama,581
Joey Mait,USA,581
Sam Spendla,United Kingdom,580
Laura Mellier,Switzerland,580
Liew Yee Voon (劉倚文),Malaysia,580
Pavel Yushkevich,Belarus,580
Dhruv Arora,India,580
Alex Agranov,USA,580
Clarence Kinsey G. Orozco,Philippines,580
Matej Marković,Croatia,579
Jakub Bartos,Poland,579
Gael Augusto Lapeyre,Argentina,579
Modest Podzolkin,Ukraine,579
Elias Fischer,Germany,579
Alessio Giuliano,Switzerland,579
Yezhen Han (韩业臻),China,579
Lorenzo Layug,Philippines,578
Alevio Hamizan Ersha,Indonesia,578
Rafik Sarwat Naeem Ragheb,Egypt,578
Timothy Loh,Australia,577
Benjamin Tibbetts,USA,577
Fedor Abaev,Russia,577
Mathieu Hudon,Canada,577
Takayuki Tanaka (田中隆喜),Japan,577
Mihail Stoicescu,Romania,577
Leo Lindqvist,Sweden,577
Lacey Dilworth,USA,577
Dmitry Dobrjakov,Russia,577
Timothy Townley,USA,577
Sam Koch,USA,577
Vojtěch Kundera,Czech Republic,577
Nicholas Daneshvari,USA,576
Simon Jansson,Sweden,576
Asher Kim-Magierek,USA,576
Jacob Nobili,USA,576
Dylan Vaskevicius,Canada,576
Angel Alexis Carrillo Ramirez,Mexico,576
Nathan Dwyer,USA,575
Jami Viljanen,Finland,575
Nathan Soria,USA,575
Wojciech Barciaga,Poland,575
Teh Keng Foo (郑庆富),Malaysia,574
Eder Olivencia Gonzalez,Spain,574
Kent Thomson,Australia,574
Ekaterina Soboleva (Екатерина Соболева),Russia,574
Florian Truckenthanner,Austria,574
Reagan Li,Canada,574
Dana Yi,USA,573
Dan Pastushkov,USA,573
Alisher Soltan (Алишер Солтан),Kazakhstan,573
Lucas Ichiro Yunomae,Brazil,573
Mateusz Kotwica,Poland,573
Wuouran Liu (刘巫偶然),China,573
Tomasz Larysz,Poland,572
Christian Smedegaard,Denmark,572
Naglis Peciulis,Lithuania,572
Kailin Sun (孙凯霖),China,572
William Klauer,USA,572
Alyssa Bell,USA,572
Josh Bloch,USA,572
Sukesh Kumar,India,572
Karina Ermakova (Карина Ермакова),Russia,572
Adrián Martínez Macías,Spain,571
Nathanael Morgan,USA,571
Shao-Yu Hu (胡紹宇),Taiwan,571
Oleksandr Seniuk (Олександр Сенюк),Ukraine,571
Andre Febriato Jonathan,Indonesia,571
Jonathan Truchot,USA,571
Naman Jain,India,571
Dias Murzalin (Диас Мурзалин),Kazakhstan,571
Natanael Lundberg,Sweden,571
Agustín Bernasconi,Argentina,571
David Edwards,Australia,570
Shuto Ueno (上野柊斗),Japan,570
Daniel Gracia Ortiz,Spain,570
Anunak Roy,India,570
Ekaterina Shutenko,Russia,570
Damián Campos,Argentina,569
Philippe Virouleau,France,569
Nicolás Shwkyng Monroy,Colombia,569
Jair Sosa,USA,569
Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,569
Samuel Baird,USA,569
Junseop Kim (김준섭),Korea,569
Sören Jaan Handschuch,Germany,569
Patryk Grosiak,Poland,569
Derek Kong,Canada,569
Matthew Dickman,USA,569
Benjamin Riske,Australia,568
Rick Hamburger,Netherlands,568
Aleksa Radovanović,Serbia,568
Samuel Hernandez Castro,Mexico,568
Andreas Wagner,Austria,568
Roman Ponikarovskiy,Russia,568
Arnav Arora,India,568
Annika Stein,Germany,568
Aaron Ariff,Malaysia,568
Pietro Furbatto,Italy,567
James Gonsalves,India,567
Jane Behrle,USA,567
Andrew Karbusicky,USA,567
Anish Rajesh,India,567
Kaloyan Galabinov,Bulgaria,567
Marie Vincent,France,567
Yang Li (李扬),China,567
Zian Song (宋子安),China,567
Mika Smulders,Netherlands,566
Tucker Chamberlain,USA,566
Silas Kampp Richter Lassen,Denmark,566
Acchyut Jolly,India,566
Xiaobin Rui (芮晓彬),China,566
Amir Husain,Kazakhstan,566
Shangtong Fu (傅上桐),China,566
Timotej Andrejko,Slovakia,566
Tamara Macadam,Australia,566
Jacob Joshi,Australia,566
Ethan Jan,USA,566
Urho Kinnunen,Finland,566
Jonathan Tan Wei Xiat,Malaysia,566
Max Chan,USA,566
Weikang Zheng (郑炜康),China,566
Zachary Miller,USA,565
Eric Zhao,USA,565
Alex Maass,USA,565
Shrijan Pal,India,565
